 Pressure Time
0 101844.25 0
1 101846.75 5
2 101845.11 10
3 101846.52 15
4 101846.66 20
5 101846.82 25
6 101846.52 30
7 101847.5 35
8 101850.16 40
9 101847.82 45
10 101846.66 50
11 101845.34 55
12 101839.85 60
13 101843.66 65
14 101840.06 70
15 101840.32 75
16 101839.99 80
17 101842.5 85
18 101843.96 90
19 101839.92 95
20 101836.94 100
21 101840.14 105
22 101841.33 110
23 101834.96 115
24 101839.38 120
25 101838.65 125
26 101842.96 130
27 101839.63 135
28 101838.37 140
29 101841.92 145
30 101845.57 150
31 101839.38 155
32 101842.91 160
33 101843.61 165
34 101840.89 170
35 101843.11 175
36 101841.44 180
37 101842.1 185
38 101840.5 190
39 101845.21 195
40 101843.33 200
41 101841.8 205
42 101839.31 210
43 101840.78 215
44 101844.55 220
45 101843.17 225
46 101841.0 230
47 101843.74 235
48 101841.28 240
49 101846.65 245
50 101841.32 250
51 101843.05 255
52 101841.58 260
53 101841.86 265
54 101846.82 270
55 101846.33 275
56 101844.24 280
57 101844.97 285
58 101846.67 290
59 101846.69 295
